target,epoch,injection_ratio,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
abuse,1970-1974,0,0.38713747258771936,0.38726973684210525,0.008521201713958823,0.008559118371585036
abuse,1970-1974,100,0.40371165322580643,0.3650717213114754,0.011563846070022865,0.01042067433053118
abuse,1970-1974,20,0.3941151102483459,0.38024420447536406,0.007208077530922904,0.006957104268808146
abuse,1970-1974,40,0.3934474522292994,0.3785897435897436,0.006909343751466112,0.006644364015092703
abuse,1970-1974,60,0.3953196692579818,0.3787675245721047,0.007332836373259957,0.0070315232711545455
abuse,1970-1974,80,0.39908629455899647,0.3758307259976069,0.00885487708984194,0.00836377833009334
abuse,1975-1979,0,0.3990301922870275,0.3990301922870275,0.005409652252061048,0.005409652252061048
abuse,1975-1979,100,0.4235121303544368,0.38620147666513116,0.005782142166229629,0.005817392413583819
abuse,1975-1979,20,0.4032766288882305,0.396246396257584,0.005584299943459552,0.005608202138344181
abuse,1975-1979,40,0.4075808500155258,0.39272962896926056,0.005663808261823704,0.005676953561389157
abuse,1975-1979,60,0.413542894650638,0.3909007901532283,0.005813552756003723,0.0057947034874985546
abuse,1975-1979,80,0.41849289975481063,0.3884089000978974,0.005764628469540783,0.0057607016711298965
abuse,1980-1984,0,0.41069695220196867,0.41069695220196867,0.005905738677711403,0.005905738677711403
abuse,1980-1984,100,0.4345968475450112,0.3931841604486589,0.006155222296276424,0.006178511601041473
abuse,1980-1984,20,0.41760899469356144,0.4092075801254557,0.006060361379979019,0.0060339477018961
abuse,1980-1984,40,0.4228965589915493,0.4053054545159577,0.0060566673053384186,0.006068495407766962
abuse,1980-1984,60,0.42726917528982716,0.4022707925843271,0.006014436878133909,0.0060315108924326585
abuse,1980-1984,80,0.4296429607277796,0.3964988125798202,0.006057995547680627,0.006076668018491311
abuse,1985-1989,0,0.4199915453113999,0.4199915453113999,0.006273308155666702,0.006273308155666702
abuse,1985-1989,100,0.4401979444878454,0.40032788312405376,0.006339652525858945,0.006556858614961784
abuse,1985-1989,20,0.42392593599961315,0.41493776485326334,0.006387130040848811,0.006430460024556328
abuse,1985-1989,40,0.428863477375914,0.4104824713525964,0.006411315233809866,0.006490091148508353
abuse,1985-1989,60,0.4356753529961959,0.4094723980580176,0.00632084379860369,0.00648104417534979
abuse,1985-1989,80,0.4369532624055049,0.4040095003663461,0.006295880726810314,0.006471203857474557
abuse,1990-1994,0,0.420075972510596,0.420075972510596,0.0061828173279453325,0.0061828173279453325
abuse,1990-1994,100,0.43728422372524456,0.3963410981712518,0.006391725242150863,0.006500515962540388
abuse,1990-1994,20,0.4229755933986604,0.4144824838796056,0.006190377881650303,0.006233417239865724
