target,epoch,injection_ratio,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
abuse,1970-1974,1,0.4925724478519261,0.5080209415660866,0.007549430881396696,0.007250858908820007
abuse,1970-1974,2,0.4925724478519261,0.5080209415660866,0.007549430881396696,0.007250858908820007
abuse,1970-1974,3,0.4925724478519261,0.5080209415660866,0.007549430881396696,0.007250858908820007
abuse,1970-1974,4,0.4925724478519261,0.5080209415660866,0.007549430881396696,0.007250858908820007
abuse,1970-1974,5,0.4925724478519261,0.5080209415660866,0.007549430881396696,0.007250858908820007
abuse,1970-1974,6,0.4925724478519261,0.5080209415660866,0.007549430881396696,0.007250858908820007
abuse,1975-1979,1,0.5152457009997196,0.5283994712140839,0.008890956296523766,0.00855793738720755
abuse,1975-1979,2,0.5152457009997196,0.5283994712140839,0.008890956296523766,0.00855793738720755
abuse,1975-1979,3,0.5152457009997196,0.5283994712140839,0.008890956296523766,0.00855793738720755
abuse,1975-1979,4,0.5152457009997196,0.5283994712140839,0.008890956296523766,0.00855793738720755
abuse,1975-1979,5,0.5152457009997196,0.5283994712140839,0.008890956296523766,0.00855793738720755
abuse,1975-1979,6,0.5152457009997196,0.5283994712140839,0.008890956296523766,0.00855793738720755
abuse,1980-1984,1,0.5301460736545722,0.5439110413452979,0.009175109909369584,0.008629593844232045
abuse,1980-1984,2,0.5301460736545722,0.5439110413452979,0.009175109909369584,0.008629593844232045
abuse,1980-1984,3,0.5301460736545722,0.5439110413452979,0.009175109909369584,0.008629593844232045
abuse,1980-1984,4,0.5301460736545722,0.5439110413452979,0.009175109909369584,0.008629593844232045
abuse,1980-1984,5,0.5301460736545722,0.5439110413452979,0.009175109909369584,0.008629593844232045
abuse,1980-1984,6,0.5301460736545722,0.5439110413452979,0.009175109909369584,0.008629593844232045
abuse,1985-1989,1,0.522537801248901,0.5354557912712868,0.009205396452559805,0.008725361440693195
abuse,1985-1989,2,0.522537801248901,0.5354557912712868,0.009205396452559805,0.008725361440693195
abuse,1985-1989,3,0.522537801248901,0.5354557912712868,0.009205396452559805,0.008725361440693195
abuse,1985-1989,4,0.522537801248901,0.5354557912712868,0.009205396452559805,0.008725361440693195
abuse,1985-1989,5,0.522537801248901,0.5354557912712868,0.009205396452559805,0.008725361440693195
abuse,1985-1989,6,0.522537801248901,0.5354557912712868,0.009205396452559805,0.008725361440693195
abuse,1990-1994,1,0.5314782880144101,0.5444528226589412,0.008563061249695584,0.008088638253344655
abuse,1990-1994,2,0.5314782880144101,0.5444528226589412,0.008563061249695584,0.008088638253344655
abuse,1990-1994,3,0.5314782880144101,0.5444528226589412,0.008563061249695584,0.008088638253344655
abuse,1990-1994,4,0.5314782880144101,0.5444528226589412,0.008563061249695584,0.008088638253344655
abuse,1990-1994,5,0.5314782880144101,0.5444528226589412,0.008563061249695584,0.008088638253344655
abuse,1990-1994,6,0.5314782880144101,0.5444528226589412,0.008563061249695584,0.008088638253344655
abuse,1995-1999,1,0.5470136257874638,0.5559031820706112,0.008352771015569863,0.008026158332330589
abuse,1995-1999,2,0.5470136257874638,0.5559031820706112,0.008352771015569863,0.008026158332330589
abuse,1995-1999,3,0.5470136257874638,0.5559031820706112,0.008352771015569863,0.008026158332330589
abuse,1995-1999,4,0.5470136257874638,0.5559031820706112,0.008352771015569863,0.008026158332330589
abuse,1995-1999,5,0.5470136257874638,0.5559031820706112,0.008352771015569863,0.008026158332330589
abuse,1995-1999,6,0.5470136257874638,0.5559031820706112,0.008352771015569863,0.008026158332330589
abuse,2000-2004,1,0.5292712437977933,0.5415553806364825,0.008802546041438021,0.008321056353876186
abuse,2000-2004,2,0.5292712437977933,0.5415553806364825,0.008802546041438021,0.008321056353876186
abuse,2000-2004,3,0.5292712437977933,0.5415553806364825,0.008802546041438021,0.008321056353876186
abuse,2000-2004,4,0.5292712437977933,0.5415553806364825,0.008802546041438021,0.008321056353876186
abuse,2000-2004,5,0.5292712437977933,0.5415553806364825,0.008802546041438021,0.008321056353876186
abuse,2000-2004,6,0.5292712437977933,0.5415553806364825,0.008802546041438021,0.008321056353876186
abuse,2005-2009,1,0.5208827766476319,0.5355763118745712,0.008809735979103516,0.00835147957445434
abuse,2005-2009,2,0.5208827766476319,0.5355763118745712,0.008809735979103516,0.00835147957445434
abuse,2005-2009,3,0.5208827766476319,0.5355763118745712,0.008809735979103516,0.00835147957445434
abuse,2005-2009,4,0.5208827766476319,0.5355763118745712,0.008809735979103516,0.00835147957445434
abuse,2005-2009,5,0.5208827766476319,0.5355763118745712,0.008809735979103516,0.00835147957445434
abuse,2005-2009,6,0.5208827766476319,0.5355763118745712,0.008809735979103516,0.00835147957445434
abuse,2010-2014,1,0.5237174539852748,0.5372533308697189,0.008886332062864637,0.008504984551997236
abuse,2010-2014,2,0.5237174539852748,0.5372533308697189,0.008886332062864637,0.008504984551997236
abuse,2010-2014,3,0.5237174539852748,0.5372533308697189,0.008886332062864637,0.008504984551997236
abuse,2010-2014,4,0.5237174539852748,0.5372533308697189,0.008886332062864637,0.008504984551997236
abuse,2010-2014,5,0.5237174539852748,0.5372533308697189,0.008886332062864637,0.008504984551997236
abuse,2010-2014,6,0.5237174539852748,0.5372533308697189,0.008886332062864637,0.008504984551997236
abuse,2015-2019,1,0.5236429125731676,0.5396196761730715,0.00941681948368519,0.008893825870256564
abuse,2015-2019,2,0.5236429125731676,0.5396196761730715,0.00941681948368519,0.008893825870256564
abuse,2015-2019,3,0.5236429125731676,0.5396196761730715,0.00941681948368519,0.008893825870256564
