target,epoch,injection_ratio,avg_valence_index_positive,avg_valence_index_negative
abuse,1970-1974,0,0.20979190419893712,0.20979190419893712
abuse,1970-1974,100,0.3167260132197823,0.12010310776531696
abuse,1970-1974,20,0.23393831591332154,0.18953959532682932
abuse,1970-1974,40,0.23393831591332154,0.18953959532682932
abuse,1970-1974,60,0.23210774858447686,0.18113143976294885
abuse,1970-1974,80,0.24382249830181107,0.16286012546761947
abuse,1975-1979,0,0.28284433381026614,0.28284433381026614
abuse,1975-1979,100,0.3002478229459375,0.20158676294516775
abuse,1975-1979,20,0.2808536476003938,0.26567243346059694
abuse,1975-1979,40,0.29028301530331374,0.2547141835037619
abuse,1975-1979,60,0.29265817354060714,0.2370136314015836
abuse,1975-1979,80,0.2975929854512215,0.21575211542565373
abuse,1980-1984,0,0.2509132433612831,0.2509132433612831
abuse,1980-1984,100,0.28240863433154295,0.19853677078010515
abuse,1980-1984,20,0.26291768477298316,0.24605193666554986
abuse,1980-1984,40,0.2691926825172268,0.24127032069908458
abuse,1980-1984,60,0.27330103181535376,0.2306867128047161
abuse,1980-1984,80,0.2774988183039241,0.21539196392940357
abuse,1985-1989,0,0.25366309303883466,0.25366309303883466
abuse,1985-1989,100,0.2692428910760209,0.18136364986374978
abuse,1985-1989,20,0.25556614053808147,0.23980281836539508
abuse,1985-1989,40,0.2576825808547437,0.22402813332108779
abuse,1985-1989,60,0.26509510186035184,0.2099219869556837
abuse,1985-1989,80,0.26955297563923525,0.19607175059430298
abuse,1990-1994,0,0.2493839250146411,0.2493839250146411
abuse,1990-1994,100,0.2864992459034547,0.19229561950592322
abuse,1990-1994,20,0.2521586495004594,0.23781925456970926
abuse,1990-1994,40,0.2625497607490979,0.22610441077454016
abuse,1990-1994,60,0.2720187815912068,0.21371060405438763
abuse,1990-1994,80,0.2789283913038671,0.20189329727087166
abuse,1995-1999,0,0.2609910800270736,0.2609910800270736
abuse,1995-1999,100,0.31402059035655105,0.22280267227860168
abuse,1995-1999,20,0.2705418776953593,0.25638745821081105
abuse,1995-1999,40,0.2711106037357823,0.2405022306246683
abuse,1995-1999,60,0.28459117187466476,0.23396562552545222
abuse,1995-1999,80,0.30022881327569484,0.2276600587228313
abuse,2000-2004,0,0.2877145901490003,0.2877145901490003
abuse,2000-2004,100,0.3101729714944959,0.23102062877174467
abuse,2000-2004,20,0.2903632034896873,0.27413244880596177
abuse,2000-2004,40,0.2948456394779496,0.26419266896368937
abuse,2000-2004,60,0.29918546966789294,0.25379057256365195
abuse,2000-2004,80,0.3056317621148191,0.2460321022947319
abuse,2005-2009,0,0.2693866125824861,0.2693866125824861
abuse,2005-2009,100,0.3052877172343433,0.22684479654114695
abuse,2005-2009,20,0.2776888248366304,0.26210436212504284
abuse,2005-2009,40,0.2898756171585992,0.2586795258922502
abuse,2005-2009,60,0.3026601061280817,0.25207852326333524
abuse,2005-2009,80,0.29936841968167577,0.23539657645858827
abuse,2010-2014,0,0.27594719991087907,0.27594719991087907
abuse,2010-2014,100,0.30471271219896157,0.2075006101466715
abuse,2010-2014,20,0.2771053926222958,0.2610105832400732
abuse,2010-2014,40,0.28096166888764124,0.2483087415960617
abuse,2010-2014,60,0.2921266477862373,0.23609394413093104
abuse,2010-2014,80,0.30038084365753454,0.22590071159834038
abuse,2015-2019,0,0.2628760043010116,0.2628760043010116
abuse,2015-2019,100,0.2479840402333066,0.17085070437192915
abuse,2015-2019,20,0.2686247730506584,0.25170819787494836
abuse,2015-2019,40,0.26880155591387306,0.23735770463105288
abuse,2015-2019,60,0.26598019449273125,0.21648164979973808
abuse,2015-2019,80,0.2570941917845048,0.1947214601528831
anxiety,1970-1974,0,0.3469989688019268,0.3469989688019268
anxiety,1970-1974,100,0.39284144596708936,0.263835952387657
anxiety,1970-1974,20,0.3581561904558912,0.3300528214639053
anxiety,1970-1974,40,0.3632050571087748,0.3120985081130639
anxiety,1970-1974,60,0.3667073968164623,0.29403627499891444
anxiety,1970-1974,80,0.381348614111077,0.2821351942080073
anxiety,1975-1979,0,0.35190062420256435,0.35190062420256435
anxiety,1975-1979,100,0.4251911077927798,0.2881077387444675
anxiety,1975-1979,20,0.38059271929133687,0.3497859572218731
anxiety,1975-1979,40,0.38526043147686867,0.3216078751967289
anxiety,1975-1979,60,0.3981818519085646,0.31126502112904564
anxiety,1975-1979,80,0.4101587002696469,0.3005853719217703
anxiety,1980-1984,0,0.3731501108841039,0.3731501108841039
anxiety,1980-1984,100,0.4254421061715111,0.27831076108664277
anxiety,1980-1984,20,0.38177599953673774,0.35243112156074485
anxiety,1980-1984,40,0.39890452705789353,0.33820755912875755
anxiety,1980-1984,60,0.4060752271558158,0.31553960421727967
anxiety,1980-1984,80,0.41541868727421394,0.29122212313627827
anxiety,1985-1989,0,0.3798383942157962,0.3798383942157962
anxiety,1985-1989,100,0.4393850095896051,0.2864634750564583
anxiety,1985-1989,20,0.39130760885635396,0.36614510609162976
anxiety,1985-1989,40,0.4050386258536018,0.35178633814072235
