target,epoch,injection_ratio,avg_valence_index_negative,avg_valence_index_positive,SE_negative,SE_positive
abuse,1970-1974,0,0.4978472222222222,0.4978472222222222,0.002207968830733796,0.002207968830733796
abuse,1970-1974,100,0.4708139534883722,0.5676704545454546,0.009857100696752984,0.007706200118513979
abuse,1970-1974,20,0.4926345291479821,0.5115625,0.0018056679207428673,0.0017261890377976647
abuse,1970-1974,40,0.4926345291479821,0.5115625,0.0018056679207428673,0.0017261890377976647
abuse,1970-1974,60,0.49048370408691155,0.5123160061760165,0.002094454302158511,0.001988932792401608
abuse,1970-1974,80,0.48526113013698635,0.5213157894736842,0.003512570940962967,0.0032242004102570397
abuse,1975-1979,0,0.5367460220318238,0.5367460220318238,0.0009106584036622365,0.0009106584036622365
abuse,1975-1979,100,0.5171088086031899,0.5732912029363012,0.0009382726129280657,0.0008061911685377717
abuse,1975-1979,20,0.5333323998008463,0.5442011815920399,0.0009321873142256963,0.0009085928746728496
abuse,1975-1979,40,0.5288118252573437,0.5526502868545773,0.000949338744082193,0.0008919861737166994
abuse,1975-1979,60,0.5258529776674938,0.5603873673821861,0.0009450001597186719,0.0008663388472826394
abuse,1975-1979,80,0.5198553897385298,0.566016825164594,0.0009509607177912991,0.0008439835847493838
abuse,1980-1984,0,0.5426477389516957,0.5426477389516957,0.000951754268456456,0.000951754268456456
abuse,1980-1984,100,0.5157004498875282,0.5706069696969697,0.000986914063507566,0.0008477519750205628
abuse,1980-1984,20,0.5376767083985393,0.5481298324742269,0.0009754821005034972,0.0009420502468439447
abuse,1980-1984,40,0.5342116513527311,0.5547797411647586,0.0009634082804779611,0.0008978273900513752
abuse,1980-1984,60,0.5260710372534696,0.5586229566453448,0.0009379576458647919,0.0008497155093231774
abuse,1980-1984,80,0.5203676100628931,0.5638583903273082,0.0009815327499974038,0.000865806789789783
abuse,1985-1989,0,0.542281037414966,0.542281037414966,0.0009021499637942465,0.0009021499637942465
abuse,1985-1989,100,0.5173790416375901,0.5764753668763103,0.0009111714662535816,0.0007951770280749767
abuse,1985-1989,20,0.5382632689987937,0.5516142684401452,0.0009036518315414341,0.0008782457623803951
abuse,1985-1989,40,0.5320018050541516,0.5577474649927572,0.0009126187279742344,0.0008634867922102421
abuse,1985-1989,60,0.5256391945680169,0.562086774421897,0.0008999086158319829,0.0008351360699251095
abuse,1985-1989,80,0.5223295055073822,0.5697796029307493,0.0009070953069625675,0.0008199864635989615
abuse,1990-1994,0,0.5397470063395163,0.5397470063395163,0.0008750120015705593,0.0008750120015705593
abuse,1990-1994,100,0.5135353476434904,0.5770686845168801,0.0009203044711769584,0.0007944761557736887
abuse,1990-1994,20,0.5324712709721904,0.5453159372135655,0.0008703556121911952,0.0008434884628544787
abuse,1990-1994,40,0.5300203820172373,0.5550335337650324,0.0008869188362026182,0.0008332433806039334
abuse,1990-1994,60,0.5252707305614283,0.5648714268978444,0.0009026448905573931,0.0008225416213947324
abuse,1990-1994,80,0.518918926683521,0.5691391509433963,0.000895972453221397,0.0008010220416360389
abuse,1995-1999,0,0.5513309145358213,0.5513309145358213,0.0008404565055515429,0.0008404565055515429
abuse,1995-1999,100,0.5235194404931247,0.5813749709369913,0.0009178121678280348,0.0007849585273507478
abuse,1995-1999,20,0.5447057995495496,0.55496414164052,0.0008337904973195732,0.0008099402367582295
abuse,1995-1999,40,0.5389440298507462,0.5595705889066422,0.0008605481645760323,0.0008152189786917563
abuse,1995-1999,60,0.534982738095238,0.569063233912635,0.0008993335082445845,0.0008191682546878207
abuse,1995-1999,80,0.52914073719483,0.5740788543140027,0.0009144989885745491,0.0008105587437068429
abuse,2000-2004,0,0.5384978321856668,0.5384978321856668,0.0009522050320010527,0.0009522050320010527
abuse,2000-2004,100,0.5152523778642455,0.5725518992932863,0.000854500166901627,0.0007653865762888853
abuse,2000-2004,20,0.5349993788819877,0.5483487500000002,0.0009361604326543014,0.0009132347086875012
abuse,2000-2004,40,0.5316891403804479,0.5577869401168452,0.0009157132245195223,0.0008709877209535976
abuse,2000-2004,60,0.526215261828204,0.5632984247374563,0.0008855362402663137,0.0008251703500899806
abuse,2000-2004,80,0.5207207131678963,0.5689352591915963,0.0008717708967081752,0.0007960046858188709
abuse,2005-2009,0,0.5404253646881287,0.5404253646881287,0.0009333175907675241,0.0009333175907675241
abuse,2005-2009,100,0.5213111429253161,0.5836775490891886,0.0009231926101589452,0.0007886486814037095
abuse,2005-2009,20,0.5379519014260696,0.5492845599204376,0.0009336937316350019,0.0009041620287405439
abuse,2005-2009,40,0.5351356028190284,0.5584661926147705,0.0009440745512356525,0.0008863750757639394
abuse,2005-2009,60,0.5291846238130021,0.5651676534557757,0.0009261463896643166,0.0008452560610556307
abuse,2005-2009,80,0.5241885804723643,0.5755120082066135,0.0009359454260864413,0.0008219892376682159
abuse,2010-2014,0,0.5418116129032257,0.5418116129032257,0.0009552048569025606,0.0009552048569025606
abuse,2010-2014,100,0.5191419882034898,0.5754953681424446,0.0009569113485858658,0.0008216321831777991
abuse,2010-2014,20,0.5346505201560467,0.5457772456639918,0.0009781558113313748,0.0009501206169964632
abuse,2010-2014,40,0.5335084603461637,0.5559822111706197,0.0009749915145146942,0.0009143443355783559
abuse,2010-2014,60,0.5259900897531788,0.5589435364954534,0.0009559470822383754,0.0008742390958217799
abuse,2010-2014,80,0.5245013610492452,0.5690810072815534,0.0009532291807166041,0.0008430697980564304
abuse,2015-2019,0,0.5478399311531841,0.5478399311531841,0.0009039042332368954,0.0009039042332368954
abuse,2015-2019,100,0.5228316694731778,0.5773889949868704,0.0009346401250021051,0.0008185738082392078
abuse,2015-2019,20,0.5437326560951438,0.5546121541501977,0.0009202116878580682,0.0008947055596868367
abuse,2015-2019,40,0.5385727316954513,0.5602252607324764,0.0009139343706350869,0.0008672124444319309
abuse,2015-2019,60,0.5329472920696325,0.5660304907385134,0.000919043931716377,0.0008478770714251655
abuse,2015-2019,80,0.5254643200384431,0.569746191383004,0.0009296542359500403,0.0008334828356499834
anxiety,1970-1974,0,0.5344188689968741,0.5344188689968741,0.001051437485245744,0.001051437485245744
anxiety,1970-1974,100,0.5227586091831288,0.571148414601652,0.0010107571426891983,0.0008982463549078685
anxiety,1970-1974,20,0.530052097902098,0.5396896091113611,0.0010453504613412642,0.001028369024419911
anxiety,1970-1974,40,0.5255889960850113,0.5477510474860336,0.0010559806726030431,0.0010029955299436573
anxiety,1970-1974,60,0.5241565349544073,0.5568670315964523,0.0010454895560755046,0.0009715626674655879
anxiety,1970-1974,80,0.5229076232583065,0.5630966138134911,0.00101582131377483,0.0009267657302584877
anxiety,1975-1979,0,0.5363543580992387,0.5363543580992387,0.0009712240771489976,0.0009712240771489976
anxiety,1975-1979,100,0.5200273791540785,0.5699937671403641,0.00095825350432475,0.0008422262900078728
anxiety,1975-1979,20,0.5312421793534932,0.5404730959188978,0.0009730906646016356,0.0009503340477154618
anxiety,1975-1979,40,0.5279913093123574,0.5479359217171718,0.0009529613068416818,0.00090629220124266
anxiety,1975-1979,60,0.526454944077275,0.5563516414141414,0.0009578892903523775,0.0008880661389773354
anxiety,1975-1979,80,0.5234271043346773,0.5636373309964947,0.0009543405872193656,0.0008622145810380996
anxiety,1980-1984,0,0.531548462566845,0.531548462566845,0.0009962367383688948,0.0009962367383688948
anxiety,1980-1984,100,0.5142066737008705,0.5624296774193548,0.0010187284688020683,0.0008938784089540936
anxiety,1980-1984,20,0.5302664376178928,0.539317938420348,0.0010084382901822833,0.0009818147375547086
anxiety,1980-1984,40,0.5265882628479657,0.5464494189117802,0.0010095187899954593,0.0009530335038697566
anxiety,1980-1984,60,0.5228859262229351,0.5513736481139543,0.001016009690173802,0.000940424529319265
anxiety,1980-1984,80,0.5177290716393883,0.5560264922429661,0.0010296938921078224,0.0009258623614955168
anxiety,1985-1989,0,0.5329010514963601,0.5329010514963601,0.0010078324133202454,0.0010078324133202454
anxiety,1985-1989,100,0.509041435368755,0.5617561410459587,0.0010328248408925432,0.0009161495584822213
anxiety,1985-1989,20,0.5253452773201537,0.5343331733406473,0.0010413628688908804,0.001019869938588891
anxiety,1985-1989,40,0.5212621065375302,0.5420061645671402,0.0010267999503166694,0.0009774969271420266
anxiety,1985-1989,60,0.5165730261385072,0.5471359908577574,0.0010355395163729596,0.0009659977248004447
anxiety,1985-1989,80,0.51206454226303,0.5538228155339805,0.0010479971629194552,0.0009539682845199255
anxiety,1990-1994,0,0.5160305814591334,0.5160305814591334,0.001064896435055828,0.001064896435055828
anxiety,1990-1994,100,0.5094468503937007,0.5609736229635376,0.0010288511402521236,0.0009024807816176035
anxiety,1990-1994,20,0.5161001642036125,0.5280131183383439,0.0010596510323384672,0.0010318067201444308
anxiety,1990-1994,40,0.5159345254283383,0.5361082613390928,0.0010526270313687843,0.0010004316483333965
anxiety,1990-1994,60,0.5135841590971648,0.5458187313230101,0.0010685889609992189,0.0009824946848578377
anxiety,1990-1994,80,0.5092639559849704,0.5500201612903226,0.00105169412596104,0.0009477664730505848
anxiety,1995-1999,0,0.5213832872928178,0.5213832872928178,0.0010587543062268176,0.0010587543062268176
anxiety,1995-1999,100,0.5098108593363051,0.5594911091768217,0.0009717232140386845,0.0008715133421590896
anxiety,1995-1999,20,0.5187635427952328,0.5326748915401301,0.0010456636610000466,0.0010160850276835583
anxiety,1995-1999,40,0.5117520277341706,0.5362032923961327,0.0010243102250884555,0.0009705787334512187
anxiety,1995-1999,60,0.5120942540322581,0.5449659176975511,0.000985461783427099,0.0009178499497866414
anxiety,1995-1999,80,0.5108412145345943,0.5521821080270067,0.000975086524087429,0.0008926450413977956
anxiety,2000-2004,0,0.5036066666666666,0.5036066666666666,0.0010623837471154692,0.0010623837471154692
anxiety,2000-2004,100,0.5037570970130832,0.5595837411304134,0.0009769995190049932,0.0008552077292322105
anxiety,2000-2004,20,0.5011974268547544,0.511878591954023,0.0010442294022439632,0.0010222337252396817
anxiety,2000-2004,40,0.5024581494939008,0.5255618703177473,0.001033317484545301,0.0009812406340601902
anxiety,2000-2004,60,0.5044004296183978,0.5397076334921034,0.0010004076158239839,0.0009213473458946074
anxiety,2000-2004,80,0.5011585820895523,0.5467541317217564,0.0009909520219111882,0.0008911953574246655
anxiety,2005-2009,0,0.5116842543737851,0.5116842543737851,0.0010883415976887874,0.0010883415976887874
anxiety,2005-2009,100,0.5036205678314492,0.5554759441282979,0.0010195521240069843,0.0009158194228667855
anxiety,2005-2009,20,0.5105408817908818,0.5216445931185144,0.0010717438347888635,0.0010477778103540967
anxiety,2005-2009,40,0.5077996781979083,0.5288552596179715,0.0010575758896545803,0.001015580406326887
anxiety,2005-2009,60,0.5099432712486884,0.5406571485096282,0.00102919261637736,0.0009687401070794578
anxiety,2005-2009,80,0.5047148894668401,0.5468060649724914,0.001030472455741424,0.0009474641578672266
anxiety,2010-2014,0,0.5132979461559812,0.5132979461559812,0.0010852118749792427,0.0010852118749792427
anxiety,2010-2014,100,0.4986654306531356,0.5547670089858794,0.001047079315982248,0.0009157784613438818
anxiety,2010-2014,20,0.512245523415978,0.5215055723720418,0.0010796524712292262,0.0010582768468642772
anxiety,2010-2014,40,0.5102502028671895,0.5312695417789757,0.0010642189729493893,0.001014802764716572
anxiety,2010-2014,60,0.5051442177789787,0.5389745569280344,0.0010741203314467852,0.000994826768500293
anxiety,2010-2014,80,0.4976265906680807,0.5435758869908016,0.0010707985172939115,0.0009644768663402334
anxiety,2015-2019,0,0.5151465252581636,0.5151465252581636,0.0010906727397214052,0.0010906727397214052
anxiety,2015-2019,100,0.49950384916492696,0.5540460611557398,0.0010482992328390136,0.0009260222092666699
anxiety,2015-2019,20,0.5124323759063023,0.5229239220563848,0.0010946984950554925,0.0010625566330510782
anxiety,2015-2019,40,0.5124074074074075,0.533762503473187,0.001100433285444032,0.0010425715363157624
anxiety,2015-2019,60,0.5085493492407809,0.5409171378567582,0.00107135456669145,0.0009942390663690264
anxiety,2015-2019,80,0.5041405007949126,0.5482340747565149,0.0010562412114374917,0.0009556049384211766
depression,1970-1974,0,0.5120909305249921,0.5120909305249921,0.0012233284230823546,0.0012233284230823546
depression,1970-1974,100,0.5045651833281103,0.5647012158956108,0.001239781318169534,0.0010252903506709301
depression,1970-1974,20,0.5110866038318913,0.5243552712228011,0.0012063105397289743,0.0011638934512692434
depression,1970-1974,40,0.5102799499530811,0.5350310392397302,0.0012238135036953931,0.0011384670115032068
