target,epoch,injection_ratio,avg_valence_index_negative,avg_valence_index_positive,se_valence_index_negative,se_valence_index_positive
abuse,1970-1974,0,4.982777777777779,4.982777777777779,0.09263931969100417,0.09263931969100417
abuse,1970-1974,100,4.766511627906977,5.541363636363636,0.2175503730534071,0.16178708553011137
abuse,1970-1974,20,4.941076233183857,5.0925,0.08592931564008209,0.08228893261625435
abuse,1970-1974,40,4.941076233183857,5.0925,0.08592931564008209,0.08228893261625435
abuse,1970-1974,60,4.9232875385240344,5.098503107339657,0.09366740861454008,0.08922921911130677
abuse,1970-1974,80,4.881032739359429,5.17259213510945,0.12506994248433276,0.11527950525131922
abuse,1975-1979,0,5.295359418764049,5.295359418764049,0.0671355052238942,0.0671355052238942
abuse,1975-1979,100,5.135669628808757,5.5874161714362796,0.06893417163702885,0.060181662256055354
abuse,1975-1979,20,5.268218454434886,5.3553628885274565,0.06783004916242256,0.06621204571234891
abuse,1975-1979,40,5.230966074560004,5.422077251659191,0.06830578805906197,0.06419189920131499
abuse,1975-1979,60,5.207900046505456,5.485096639559155,0.06858301673985556,0.06280095450440135
abuse,1975-1979,80,5.159029773272428,5.528844728804726,0.0685952065940513,0.061314046299136636
abuse,1980-1984,0,5.344159359023115,5.344159359023115,0.07236255152126479,0.07236255152126479
abuse,1980-1984,100,5.131233421221027,5.568251312356896,0.0767236249375047,0.06947332231456987
abuse,1980-1984,20,5.305268835962086,5.388676529579046,0.07270977490176536,0.07125180199287771
abuse,1980-1984,40,5.280509041374439,5.444592455750199,0.07313774926952554,0.07014016072589861
abuse,1980-1984,60,5.219632590568006,5.477337435616691,0.0731115631778069,0.0688264936974121
abuse,1980-1984,80,5.168517870869257,5.514970051436842,0.07539276403058745,0.06949952671442614
abuse,1985-1989,0,5.336307499550545,5.336307499550545,0.07118671418675673,0.07118671418675673
abuse,1985-1989,100,5.139095685765443,5.611742730026448,0.07222386106186365,0.06386885241119286
abuse,1985-1989,20,5.30669716208617,5.414155337356963,0.07112461129175351,0.06920208562117597
abuse,1985-1989,40,5.25452627007698,5.463106496013465,0.07108245515512866,0.06788641895455155
abuse,1985-1989,60,5.205034342531092,5.498478280003605,0.07078030700520624,0.06658786993646201
abuse,1985-1989,80,5.178435330749128,5.558363970715656,0.0711786903477043,0.06504191012814269
abuse,1990-1994,0,5.31830478338421,5.31830478338421,0.0692381154050024,0.0692381154050024
abuse,1990-1994,100,5.106886209907533,5.616908722642327,0.072347509499884,0.0643522101990213
abuse,1990-1994,20,5.261045908004574,5.3643732192841895,0.06943695174188089,0.06790968903836353
abuse,1990-1994,40,5.241671891805781,5.442302277395908,0.07018649684511549,0.06738803046568206
abuse,1990-1994,60,5.20395028560358,5.519299985202375,0.0704655572569353,0.06540977247996625
abuse,1990-1994,80,5.151105262235186,5.553291556535073,0.0709962010439005,0.06525770397860424
abuse,1995-1999,0,5.412247547682066,5.412247547682066,0.0696155804372218,0.0696155804372218
abuse,1995-1999,100,5.185508096420617,5.64992041269803,0.07304209177105819,0.06375134652649526
abuse,1995-1999,20,5.359811245196577,5.442985478525932,0.06948494042056624,0.06771413595045367
abuse,1995-1999,40,5.314333632223723,5.480745804925911,0.07046635801187266,0.06715414120589883
abuse,1995-1999,60,5.28037120128891,5.555458415998054,0.07172834164220711,0.06633056520634165
abuse,1995-1999,80,5.231326234742002,5.592440664021726,0.07209009337816379,0.06512927013604927
abuse,2000-2004,0,5.312240379267693,5.312240379267693,0.07172757702872659,0.07172757702872659
abuse,2000-2004,100,5.1241159299760906,5.582579484585667,0.07184500613290586,0.06453703006871052
abuse,2000-2004,20,5.280843537902016,5.3894089258954585,0.07207766086063874,0.06999284797041952
abuse,2000-2004,40,5.255674440606002,5.467582150501417,0.07221542834201841,0.06826967555925388
abuse,2000-2004,60,5.2105391308710685,5.507806214202247,0.0720844483260035,0.06675849156886703
abuse,2000-2004,80,5.165691036385429,5.5523202395689975,0.07162808875661839,0.06508055659321364
abuse,2005-2009,0,5.323309506286767,5.323309506286767,0.07027156276971833,0.07027156276971833
abuse,2005-2009,100,5.1719371070438225,5.670470445873656,0.07065934730473246,0.060849995814228244
abuse,2005-2009,20,5.3027473907099925,5.394085906716361,0.07056979056982432,0.06876842512984624
abuse,2005-2009,40,5.280834810165735,5.4681486379082465,0.07058393147797407,0.06688997522765663
abuse,2005-2009,60,5.234389027458885,5.522131261538197,0.07058688264786069,0.06514398849644619
abuse,2005-2009,80,5.19362062007041,5.604518491422891,0.07097280321506827,0.06307961951807835
abuse,2010-2014,0,5.3361637540448825,5.3361637540448825,0.07126119185800056,0.07126119185800056
abuse,2010-2014,100,5.153635792487721,5.605492739891997,0.07291282116680342,0.06411802012418573
abuse,2010-2014,20,5.279477419353709,5.368976055734326,0.07266108831464055,0.0713155530007594
abuse,2010-2014,40,5.26905854273776,5.450058341572159,0.0729704583087587,0.06943910026430006
abuse,2010-2014,60,5.208466150206965,5.472343278804491,0.07226752682853563,0.06745301596749134
abuse,2010-2014,80,5.196153601210502,5.553791306018132,0.07294687884421844,0.06594068585912001
abuse,2015-2019,0,5.385361933642869,5.385361933642869,0.07205865703745352,0.07205865703745352
abuse,2015-2019,100,5.185571672487223,5.621347750699401,0.07448911477960887,0.06726462803768385
abuse,2015-2019,20,5.353567422723503,5.4404591638331725,0.07331059279809378,0.07156284842776209
abuse,2015-2019,40,5.309794483055474,5.484326992655482,0.07342703659794937,0.0704466162884119
abuse,2015-2019,60,5.266706558097431,5.5309040401074885,0.07350759018773455,0.06909997128997947
abuse,2015-2019,80,5.20777922117195,5.561320326730791,0.07488143511982344,0.06907801316002138
anxiety,1970-1974,0,5.276870733200428,5.276870733200428,0.06623909570048578,0.06623909570048578
anxiety,1970-1974,100,5.1823334521837054,5.57126293643905,0.06447316797740768,0.05642183683095207
anxiety,1970-1974,20,5.24114651450949,5.318166659041489,0.0663872770167068,0.06530251531270367
