target,epoch,injection_ratio,avg_valence_index,SE,SD
mental_illness,1980-1984,20,5.34843214238974,0.04116460949723997,3.5983143412625087
mental_illness,1980-1984,40,5.353868380855397,0.040559783294285785,3.594979045840011
mental_illness,1980-1984,60,5.387221949423029,0.039464802849374134,3.5619034277272297
mental_illness,1980-1984,80,5.416625618737172,0.03877236269596788,3.5287110495301657
mental_illness,1985-1989,0,5.422675272083017,0.040354793084969975,3.5872664642597587
mental_illness,1985-1989,100,5.514180945853324,0.03724755553319168,3.4849860777422093
mental_illness,1985-1989,20,5.45954738502609,0.03912042085813928,3.551349995567873
mental_illness,1985-1989,40,5.473007491541808,0.03893556438874272,3.542066539501756
mental_illness,1985-1989,60,5.506839281548869,0.037803452840401826,3.500444596623792
mental_illness,1985-1989,80,5.522942572914311,0.03695727065750123,3.4759486981945855
mental_illness,1990-1994,0,5.40759633027523,0.04085489659261657,3.5686699555685433
mental_illness,1990-1994,100,5.469904982618772,0.03787975427226878,3.518945582638075
mental_illness,1990-1994,20,5.414110185778348,0.040374679651466246,3.566937857331028
mental_illness,1990-1994,40,5.406277805239743,0.03979649628283713,3.5799154953471772
mental_illness,1990-1994,60,5.426004425866732,0.039478185571593216,3.560485883194677
mental_illness,1990-1994,80,5.43977796149758,0.038518704698569835,3.5443487989880715
mental_illness,1995-1999,0,5.325631874847226,0.040654026291012106,3.677335897457618
mental_illness,1995-1999,100,5.442574613865985,0.0382749659297539,3.551743606840312
mental_illness,1995-1999,20,5.332273598466698,0.04014490273552048,3.6679349945438577
mental_illness,1995-1999,40,5.346990199551305,0.03973988546643711,3.6571491916687826
mental_illness,1995-1999,60,5.352169267707083,0.040006197486440784,3.651318984272637
mental_illness,1995-1999,80,5.386000240731825,0.039638472532518676,3.612976647743653
mental_illness,2000-2004,0,5.370614152202936,0.0419741097094917,3.6326403462804153
mental_illness,2000-2004,100,5.468308122537182,0.03974205442715837,3.524965646974111
mental_illness,2000-2004,20,5.368066505765621,0.0420261350129482,3.6293649510535326
mental_illness,2000-2004,40,5.3988499609273255,0.04106419217960734,3.5982168886484147
mental_illness,2000-2004,60,5.420030706243604,0.040512267341778145,3.581614381982242
mental_illness,2000-2004,80,5.45796102722932,0.040198143184136115,3.5385784086324747
mental_illness,2005-2009,0,5.334226237234878,0.042028096626887536,3.6730729097897536
mental_illness,2005-2009,100,5.455930548690064,0.03936890300097555,3.5414511088201954
mental_illness,2005-2009,20,5.3704367993815225,0.0411857733996939,3.6283240495923974
mental_illness,2005-2009,40,5.383820020746888,0.041225808130218686,3.620367754550887
mental_illness,2005-2009,60,5.390716376129278,0.040718809856884565,3.609763258324601
mental_illness,2005-2009,80,5.423707452866,0.040199490145500845,3.5736871939068493
mental_illness,2010-2014,0,5.401141588296761,0.04101117296024349,3.5884190461530894
mental_illness,2010-2014,100,5.470959913064478,0.038851614772865195,3.5357104082973776
mental_illness,2010-2014,20,5.3934623937213875,0.04120660602028636,3.602928056857556
mental_illness,2010-2014,40,5.423424915318027,0.039996364348059914,3.5708936868564494
mental_illness,2010-2014,60,5.432849321886276,0.039759378690289005,3.564401135376665
mental_illness,2010-2014,80,5.45328947368421,0.039137014439423544,3.545735751701381
mental_illness,2015-2019,0,5.3921843790012804,0.040936091959986085,3.617694557437067
mental_illness,2015-2019,100,5.5164443582784015,0.039683919238991665,3.490606198497996
mental_illness,2015-2019,20,5.418528644215236,0.040013141762650244,3.58938177558313
mental_illness,2015-2019,40,5.455047963124454,0.03960225413081261,3.5481056069827224
mental_illness,2015-2019,60,5.488624711612407,0.03981362467075914,3.5166948947735968
mental_illness,2015-2019,80,5.506374594944912,0.03982219776394439,3.4977856365280067
trauma,1970-1974,0,5.27609090909091,0.07901319794307225,3.706047488662343
trauma,1970-1974,100,5.08556886227545,0.09629214265604198,3.9350394091135694
trauma,1970-1974,20,5.189647967945049,0.06443227543767333,3.8085961067771743
trauma,1970-1974,40,5.193875968992248,0.06118943103738862,3.8065531444509
trauma,1970-1974,60,5.193875968992248,0.06118943103738862,3.8065531444509
trauma,1970-1974,80,5.193257261410789,0.0708716159148926,3.8112854715156494
trauma,1975-1979,0,5.14994623655914,0.06344120023315994,3.8693931694425783
trauma,1975-1979,100,5.23171597633136,0.09240095643367455,3.7985672440092095
trauma,1975-1979,20,5.177080875356803,0.05303443171315073,3.8445390786418256
trauma,1975-1979,40,5.1754898336414055,0.052308184035698466,3.847408282672717
trauma,1975-1979,60,5.169499561018438,0.05708006742576515,3.8527988459605575
trauma,1975-1979,80,5.181326860841423,0.06922678073562089,3.848162257291756
trauma,1980-1984,0,5.2365325077399385,0.0454015995647215,3.827222890949648
trauma,1980-1984,100,5.270533770491803,0.043305269682550954,3.7814701063043334
trauma,1980-1984,20,5.266227152225478,0.04484203815437023,3.7962433669748985
trauma,1980-1984,40,5.257270485064402,0.04450745672163639,3.8021978131784775
trauma,1980-1984,60,5.244010241207385,0.04432400006399728,3.8183010123610015
trauma,1980-1984,80,5.2588202999464375,0.04398209407570944,3.80082660844415
trauma,1985-1989,0,5.170870689655172,0.04670080436119269,3.8960900003410424
trauma,1985-1989,100,5.273407718561302,0.04319734515341552,3.770314173436297
trauma,1985-1989,20,5.182276592778475,0.04582906761604534,3.8814271299050027
trauma,1985-1989,40,5.207805074506646,0.04462676303809897,3.85162834363566
trauma,1985-1989,60,5.252774269928966,0.04364191398884895,3.8051144297576522
trauma,1985-1989,80,5.268318122555411,0.043191747406439496,3.782670013052451
trauma,1990-1994,0,5.256704277092627,0.04310087286035644,3.7628814636361025
trauma,1990-1994,100,5.3310607388854105,0.04113309751904395,3.675605353736547
trauma,1990-1994,20,5.275734265734266,0.04258716321783685,3.7423431815667767
trauma,1990-1994,40,5.274959413459021,0.04277824322164488,3.7386324605834833
trauma,1990-1994,60,5.296574911521825,0.04251372893848692,3.713325386232462
trauma,1990-1994,80,5.325729113275244,0.04163933579852024,3.6784293884659545
trauma,1995-1999,0,5.2517905166312815,0.04096460582386971,3.771859320166376
trauma,1995-1999,100,5.338415213946117,0.04056737338899292,3.6742038268913726
trauma,1995-1999,20,5.265278595829897,0.040785012387821694,3.757758495691988
trauma,1995-1999,40,5.294809232218559,0.04044780566362468,3.7273481398517023
trauma,1995-1999,60,5.28985995057079,0.0404664000521419,3.730159305368924
trauma,1995-1999,80,5.330322814653609,0.04049133924467662,3.682486400342459
trauma,2000-2004,0,5.234105058365759,0.041723393631405536,3.7837390398943804
trauma,2000-2004,100,5.414000739736161,0.04000729897026013,3.6031009683237647
trauma,2000-2004,20,5.260943442223305,0.04153538671326973,3.7621064868832153
trauma,2000-2004,40,5.300812251984127,0.04146663224976426,3.7236943406872562
trauma,2000-2004,60,5.3294432681529464,0.041224991290800476,3.6939524567478492
trauma,2000-2004,80,5.356339552238806,0.040888668048049887,3.6663252344737054
trauma,2005-2009,0,5.2480126256722,0.04069033770813515,3.7633613229783074
trauma,2005-2009,100,5.345573823688481,0.03809885859639647,3.663240420527874
trauma,2005-2009,20,5.290529228640609,0.03996479616405988,3.7218792187559635
trauma,2005-2009,40,5.3006803185438,0.0395958358123717,3.7123075813097457
trauma,2005-2009,60,5.3187558843308675,0.03907765118610209,3.6911318724573667
trauma,2005-2009,80,5.318090088081168,0.03893881520912599,3.6876928827910205
trauma,2010-2014,0,5.217696347031964,0.040649303536275674,3.8045663473176865
trauma,2010-2014,100,5.321634551495016,0.0387397288308961,3.6812935643220586
trauma,2010-2014,20,5.2739866189871965,0.04017730503575477,3.7408070140553797
trauma,2010-2014,40,5.280877884726894,0.040139637300904925,3.7273711288085347
trauma,2010-2014,60,5.308641008174387,0.03933842548438946,3.6919484322179144
trauma,2010-2014,80,5.333251450017059,0.03908974071069457,3.665483984264059
trauma,2015-2019,0,5.276383442265795,0.04124625463304696,3.7491007711985778
trauma,2015-2019,100,5.389835381405055,0.039031826318694916,3.6251301184586286
trauma,2015-2019,20,5.3101097443318865,0.04077450719672379,3.7129437303478037
trauma,2015-2019,40,5.334179514760368,0.040278047054858566,3.6842856065712803
trauma,2015-2019,60,5.36170610506389,0.039723729022956074,3.6519914732347174
trauma,2015-2019,80,5.392708112563287,0.03930912826068189,3.6226299626477148
