target,corpus,year,count
paper,psych,1987,1052
paper,psych,1988,1152
paper,psych,1989,1297
paper,psych,1990,1238
paper,psych,1991,1298
paper,psych,1992,1451
paper,psych,1993,1549
paper,psych,1994,1605
paper,psych,1995,1670
paper,psych,1996,1825
paper,psych,1997,1754
paper,psych,1998,1786
paper,psych,1999,1715
paper,psych,2000,1984
paper,psych,2001,1996
paper,psych,2002,2181
paper,psych,2003,2378
paper,psych,2004,2584
paper,psych,2005,2741
paper,psych,2006,3081
paper,psych,2007,3223
paper,psych,2008,3233
paper,psych,2009,3408
paper,psych,2010,3534
paper,psych,2011,3645
paper,psych,2012,3806
paper,psych,2013,4240
paper,psych,2014,4301
paper,psych,2015,4460
paper,psych,2016,4566
paper,psych,2017,3841
paper,psych,2018,3917
paper,psych,2019,30
phone,psych,1970,1
phone,psych,1972,2
phone,psych,1974,4
phone,psych,1975,5
phone,psych,1976,4
phone,psych,1977,2
phone,psych,1978,6
phone,psych,1979,3
phone,psych,1980,9
phone,psych,1981,6
phone,psych,1982,5
phone,psych,1983,2
phone,psych,1984,6
phone,psych,1985,5
phone,psych,1986,11
phone,psych,1987,11
phone,psych,1988,9
phone,psych,1989,13
phone,psych,1990,10
phone,psych,1991,7
phone,psych,1992,9
phone,psych,1993,17
phone,psych,1994,12
phone,psych,1995,17
phone,psych,1996,18
phone,psych,1997,17
phone,psych,1998,25
phone,psych,1999,23
phone,psych,2000,19
phone,psych,2001,42
phone,psych,2002,35
phone,psych,2003,36
phone,psych,2004,58
phone,psych,2005,72
phone,psych,2006,72
phone,psych,2007,98
phone,psych,2008,97
phone,psych,2009,115
phone,psych,2010,115
phone,psych,2011,118
phone,psych,2012,160
phone,psych,2013,181
phone,psych,2014,191
phone,psych,2015,216
phone,psych,2016,239
phone,psych,2017,204
phone,psych,2018,212
phone,psych,2019,1
ship,psych,1971,2
ship,psych,1973,2
ship,psych,1974,1
ship,psych,1975,1
ship,psych,1977,3
ship,psych,1978,2
ship,psych,1980,3
ship,psych,1981,4
ship,psych,1982,1
ship,psych,1983,2
ship,psych,1984,6
ship,psych,1985,3
ship,psych,1987,3
ship,psych,1988,4
ship,psych,1989,1
ship,psych,1990,3
ship,psych,1991,2
ship,psych,1992,7
ship,psych,1993,3
ship,psych,1994,3
ship,psych,1995,2
ship,psych,1996,5
ship,psych,1997,5
ship,psych,1998,10
ship,psych,1999,6
ship,psych,2000,10
ship,psych,2001,6
ship,psych,2002,8
ship,psych,2003,3
ship,psych,2004,6
ship,psych,2005,2
ship,psych,2006,2
ship,psych,2007,3
ship,psych,2008,5
ship,psych,2009,11
ship,psych,2010,3
ship,psych,2011,8
ship,psych,2012,12
ship,psych,2013,13
ship,psych,2014,12
ship,psych,2015,12
ship,psych,2016,8
ship,psych,2017,10
ship,psych,2018,3
stress,psych,1970,88
stress,psych,1971,78
stress,psych,1972,98
stress,psych,1973,84
stress,psych,1974,100
stress,psych,1975,139
stress,psych,1976,165
stress,psych,1977,165
stress,psych,1978,218
stress,psych,1979,256
stress,psych,1980,280
stress,psych,1981,361
stress,psych,1982,380
stress,psych,1983,452
stress,psych,1984,463
stress,psych,1985,522
stress,psych,1986,661
stress,psych,1987,835
stress,psych,1988,904
stress,psych,1989,961
stress,psych,1990,1056
stress,psych,1991,1042
stress,psych,1992,1079
stress,psych,1993,1228
stress,psych,1994,1291
stress,psych,1995,1300
stress,psych,1996,1447
stress,psych,1997,1551
stress,psych,1998,1457
stress,psych,1999,1400
stress,psych,2000,1688
stress,psych,2001,1821
stress,psych,2002,1798
stress,psych,2003,2047
stress,psych,2004,2131
stress,psych,2005,2342
stress,psych,2006,2763
stress,psych,2007,2970
stress,psych,2008,3218
stress,psych,2009,3392
stress,psych,2010,3980
stress,psych,2011,4139
stress,psych,2012,4583
stress,psych,2013,5232
stress,psych,2014,5651
stress,psych,2015,6153
stress,psych,2016,7471
stress,psych,2017,4971
stress,psych,2018,4627
stress,psych,2019,48
suffering,psych,1970,13
suffering,psych,1971,12
suffering,psych,1972,19
suffering,psych,1973,16
suffering,psych,1974,15
suffering,psych,1975,21
suffering,psych,1976,22
suffering,psych,1977,21
suffering,psych,1978,34
suffering,psych,1979,34
suffering,psych,1980,42
suffering,psych,1981,28
suffering,psych,1982,40
suffering,psych,1983,46
suffering,psych,1984,65
suffering,psych,1985,40
suffering,psych,1986,59
suffering,psych,1987,55
suffering,psych,1988,65
suffering,psych,1989,74
suffering,psych,1990,101
suffering,psych,1991,87
suffering,psych,1992,116
suffering,psych,1993,104
suffering,psych,1994,110
suffering,psych,1995,146
suffering,psych,1996,131
suffering,psych,1997,146
suffering,psych,1998,123
suffering,psych,1999,126
suffering,psych,2000,120
suffering,psych,2001,156
suffering,psych,2002,143
suffering,psych,2003,137
suffering,psych,2004,211
suffering,psych,2005,186
suffering,psych,2006,212
suffering,psych,2007,227
suffering,psych,2008,275
suffering,psych,2009,269
suffering,psych,2010,316
suffering,psych,2011,287
suffering,psych,2012,351
suffering,psych,2013,352
suffering,psych,2014,374
suffering,psych,2015,416
suffering,psych,2016,477
suffering,psych,2017,290
suffering,psych,2018,251
suffering,psych,2019,6
symptom,psych,1970,17
symptom,psych,1971,18
symptom,psych,1972,16
symptom,psych,1973,27
symptom,psych,1974,40
symptom,psych,1975,27
symptom,psych,1976,41
symptom,psych,1977,50
symptom,psych,1978,72
symptom,psych,1979,68
symptom,psych,1980,52
symptom,psych,1981,68
symptom,psych,1982,81
symptom,psych,1983,99
symptom,psych,1984,95
symptom,psych,1985,128
symptom,psych,1986,112
symptom,psych,1987,127
symptom,psych,1988,156
symptom,psych,1989,211
symptom,psych,1990,193
symptom,psych,1991,206
symptom,psych,1992,269
symptom,psych,1993,208
symptom,psych,1994,281
symptom,psych,1995,325
symptom,psych,1996,342
symptom,psych,1997,365
symptom,psych,1998,359
symptom,psych,1999,418
symptom,psych,2000,406
symptom,psych,2001,477
symptom,psych,2002,552
symptom,psych,2003,488
symptom,psych,2004,619
symptom,psych,2005,669
symptom,psych,2006,828
symptom,psych,2007,889
symptom,psych,2008,995
symptom,psych,2009,1006
symptom,psych,2010,1178
symptom,psych,2011,1284
symptom,psych,2012,1397
symptom,psych,2013,1660
symptom,psych,2014,1781
symptom,psych,2015,1914
symptom,psych,2016,2407
symptom,psych,2017,1412
symptom,psych,2018,1426
symptom,psych,2019,9
telephone,psych,1970,5
telephone,psych,1971,7
telephone,psych,1973,14
telephone,psych,1974,6
telephone,psych,1975,12
telephone,psych,1976,20
telephone,psych,1977,18
telephone,psych,1978,20
telephone,psych,1979,19
telephone,psych,1980,41
telephone,psych,1981,27
telephone,psych,1982,42
telephone,psych,1983,28
telephone,psych,1984,29
telephone,psych,1985,31
telephone,psych,1986,30
telephone,psych,1987,41
telephone,psych,1988,56
telephone,psych,1989,46
telephone,psych,1990,54
telephone,psych,1991,62
telephone,psych,1992,52
telephone,psych,1993,70
telephone,psych,1994,57
telephone,psych,1995,76
telephone,psych,1996,65
telephone,psych,1997,93
telephone,psych,1998,96
telephone,psych,1999,117
telephone,psych,2000,129
telephone,psych,2001,138
telephone,psych,2002,139
telephone,psych,2003,175
telephone,psych,2004,171
telephone,psych,2005,178
telephone,psych,2006,216
telephone,psych,2007,242
telephone,psych,2008,216
telephone,psych,2009,216
telephone,psych,2010,253
telephone,psych,2011,245
telephone,psych,2012,243
telephone,psych,2013,270
telephone,psych,2014,292
telephone,psych,2015,268
telephone,psych,2016,310
telephone,psych,2017,174
telephone,psych,2018,168
train,psych,1970,5
train,psych,1971,8
train,psych,1972,11
train,psych,1973,17
train,psych,1974,13
train,psych,1975,11
train,psych,1976,19
train,psych,1977,21
train,psych,1978,14
train,psych,1979,15
train,psych,1980,16
train,psych,1981,20
train,psych,1982,24
train,psych,1983,14
train,psych,1984,15
train,psych,1985,14
train,psych,1986,14
train,psych,1987,17
train,psych,1988,25
train,psych,1989,23
train,psych,1990,21
train,psych,1991,19
train,psych,1992,25
train,psych,1993,28
train,psych,1994,31
train,psych,1995,26
train,psych,1996,29
train,psych,1997,41
train,psych,1998,32
train,psych,1999,35
train,psych,2000,28
train,psych,2001,38
train,psych,2002,43
train,psych,2003,35
train,psych,2004,41
train,psych,2005,34
train,psych,2006,68
train,psych,2007,45
train,psych,2008,50
train,psych,2009,66
train,psych,2010,85
train,psych,2011,72
train,psych,2012,103
train,psych,2013,106
train,psych,2014,126
train,psych,2015,109
train,psych,2016,140
train,psych,2017,97
train,psych,2018,89
trauma,psych,1970,2
trauma,psych,1971,6
trauma,psych,1972,5
trauma,psych,1973,1
trauma,psych,1974,5
trauma,psych,1975,4
trauma,psych,1976,5
trauma,psych,1977,10
trauma,psych,1978,2
trauma,psych,1979,13
trauma,psych,1980,19
trauma,psych,1981,20
trauma,psych,1982,25
trauma,psych,1983,24
trauma,psych,1984,25
trauma,psych,1985,30
trauma,psych,1986,42
trauma,psych,1987,50
trauma,psych,1988,43
trauma,psych,1989,52
trauma,psych,1990,91
trauma,psych,1991,81
trauma,psych,1992,124
trauma,psych,1993,126
trauma,psych,1994,186
trauma,psych,1995,285
trauma,psych,1996,306
trauma,psych,1997,275
trauma,psych,1998,312
trauma,psych,1999,338
trauma,psych,2000,381
trauma,psych,2001,424
trauma,psych,2002,460
trauma,psych,2003,483
trauma,psych,2004,636
trauma,psych,2005,711
trauma,psych,2006,744
trauma,psych,2007,868
trauma,psych,2008,917
trauma,psych,2009,954
trauma,psych,2010,956
trauma,psych,2011,1139
trauma,psych,2012,1263
trauma,psych,2013,1541
trauma,psych,2014,1632
trauma,psych,2015,1858
trauma,psych,2016,2286
trauma,psych,2017,1778
trauma,psych,2018,1631
trauma,psych,2019,18
travel,psych,1970,3
travel,psych,1971,5
travel,psych,1972,6
travel,psych,1973,2
travel,psych,1974,1
travel,psych,1975,1
travel,psych,1976,6
travel,psych,1977,5
travel,psych,1978,3
travel,psych,1979,18
travel,psych,1980,9
travel,psych,1981,11
travel,psych,1982,17
travel,psych,1983,6
travel,psych,1984,4
travel,psych,1985,4
travel,psych,1986,6
travel,psych,1987,10
travel,psych,1988,8
travel,psych,1989,16
travel,psych,1990,13
travel,psych,1991,13
travel,psych,1992,13
travel,psych,1993,17
travel,psych,1994,24
travel,psych,1995,19
travel,psych,1996,16
travel,psych,1997,29
travel,psych,1998,31
travel,psych,1999,16
travel,psych,2000,51
travel,psych,2001,22
travel,psych,2002,41
travel,psych,2003,51
travel,psych,2004,35
travel,psych,2005,43
travel,psych,2006,59
travel,psych,2007,86
travel,psych,2008,60
travel,psych,2009,73
travel,psych,2010,85
travel,psych,2011,123
travel,psych,2012,108
travel,psych,2013,135
travel,psych,2014,151
travel,psych,2015,136
travel,psych,2016,186
travel,psych,2017,98
travel,psych,2018,159
travel,psych,2019,9
worry,psych,1970,1
worry,psych,1972,2
worry,psych,1974,3
worry,psych,1975,5
worry,psych,1976,9
worry,psych,1977,3
worry,psych,1978,7
worry,psych,1979,2
worry,psych,1980,3
worry,psych,1981,7
worry,psych,1982,6
worry,psych,1983,10
worry,psych,1984,9
worry,psych,1985,19
worry,psych,1986,19
worry,psych,1987,10
worry,psych,1988,29
worry,psych,1989,33
worry,psych,1990,55
worry,psych,1991,36
worry,psych,1992,52
worry,psych,1993,48
worry,psych,1994,72
worry,psych,1995,78
worry,psych,1996,71
worry,psych,1997,75
worry,psych,1998,106
worry,psych,1999,75
worry,psych,2000,89
worry,psych,2001,105
worry,psych,2002,133
worry,psych,2003,146
worry,psych,2004,157
worry,psych,2005,188
worry,psych,2006,177
worry,psych,2007,289
worry,psych,2008,236
worry,psych,2009,289
worry,psych,2010,270
worry,psych,2011,286
worry,psych,2012,379
worry,psych,2013,380
worry,psych,2014,428
worry,psych,2015,421
worry,psych,2016,551
worry,psych,2017,340
worry,psych,2018,314
worry,psych,2019,9
